tenure,MonthlyCharges,TotalCharges
1,50.4858075040783,50.4858075040783
2,57.2063025210084,114.33235294117647
3,58.015,174.69
4,57.43267045454545,230.53068181818182
5,61.00375939849624,304.49135338345866
6,56.58909090909091,336.175
7,59.64236641221374,418.39083969465645
8,57.24512195121951,462.7890243902439
9,62.56470588235294,564.1411764705882
10,58.82456896551724,593.7349137931035
11,58.472727272727276,648.0843434343434
12,56.83632478632479,671.8491452991453
13,60.07064220183486,777.5288990825687
14,62.665789473684214,873.0302631578948
15,60.59242424242424,910.6929292929293
16,62.545624999999994,1002.9125
17,62.6551724137931,1059.2925287356322
18,59.7298969072165,1072.6561855670102
19,57.86986301369863,1091.2561643835616
20,60.713380281690135,1225.8197183098591
21,66.08888888888889,1394.031746031746
22,61.940000000000005,1357.4122222222222
23,61.56235294117647,1416.1488235294116
24,61.3436170212766,1473.7276595744681
25,59.64810126582278,1492.8215189873417
26,64.6506329113924,1665.7493670886076
27,61.486805555555556,1664.7076388888888
28,67.66140350877193,1890.2043859649123
29,60.99791666666667,1758.5715277777776
30,70.25694444444444,2100.3298611111113
31,70.60076923076923,2190.2892307692305
32,71.22101449275362,2271.2528985507247
33,66.4515625,2187.36796875
34,69.64461538461538,2353.018461538462
35,61.91931818181818,2169.533522727273
36,65.462,2358.705
37,64.9,2382.8338461538465
38,65.64406779661017,2497.914406779661
39,60.65625,2361.5455357142855
40,66.584375,2670.41796875
41,69.34,2830.5792857142856
42,65.58153846153846,2779.7838461538463
43,71.16230769230769,3065.3523076923075
44,63.97352941176471,2816.1470588235293
45,71.24590163934427,3218.598360655738
46,63.63986486486487,2928.943918918919
47,67.75294117647059,3191.3375
48,64.3359375,3083.3578125
49,72.99848484848485,3585.5151515151515
50,71.4875,3582.5176470588235
51,66.88235294117646,3406.1323529411766
52,67.19125,3493.746875
53,68.42857142857143,3635.0807142857143
54,73.8845588235294,3984.344117647059
55,67.8296875,3732.02578125
56,74.655,4172.6606249999995
57,67.82076923076923,3868.699230769231
58,69.65820895522388,4054.74104477612
59,70.9975,4187.835
60,74.11776315789473,4444.968421052631
61,74.5013157894737,4553.258552631579
62,70.735,4377.029285714286
63,73.89791666666666,4645.902083333333
64,75.780625,4856.710625
65,80.44802631578948,5219.565131578947
66,76.06348314606741,5029.54382022472
67,72.33418367346938,4840.286734693877
68,73.321,5006.3
69,70.82315789473684,4876.041578947368
70,76.37899159663866,5349.057142857143
71,73.73558823529412,5238.586176470589
72,80.69585635359117,5812.44502762431
